Invoice_Date,Customer_Code,Customer_Name,Item_Code,Zone,HQ,Brand,Item_Description,QTY,AMOUNT
2022-05-04,305013,Vijendra Medical Hall,10007860,North,Jind,KEM LCC,KEM LCC ( 25 Kg),500,57500
2022-05-04,306002,Japp Poultry,10012600,North,Jind,Premin,Premin-O-Se (15 x 1Kg),15,39000
2022-05-04,306002,Japp Poultry,10008978,North,Jind,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),125,10625
2022-05-04,306002,Japp Poultry,10008978,North,Jind,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),875,74375
2022-05-04,306002,Japp Poultry,10014991,North,Jind,Premin,Premin L (25Kg),200,9200
2022-05-04,306002,Japp Poultry,10011522,North,Jind,Previte Chick Pro,Previte Chick Pro (5L x 2),150,60000
2022-05-04,306002,Japp Poultry,10014991,North,Jind,Premin,Premin L (25Kg),500,23000
2022-05-04,306002,Japp Poultry,10014991,North,Jind,Premin,Premin L (25Kg),500,23000
2022-05-04,306002,Japp Poultry,10014991,North,Jind,Premin,Premin L (25Kg),300,13800
2022-06-04,305090,Sri Lakshmi Traders,10015722,South,Namakkal,Previte,Previte Special Soya G 500 L (5 x 5KG),500,210000
2022-07-04,306096,Shree Keshav Agencies,10007213,North,Ajmer,Xerotox,Xerotox (25 Kg),500,20000
2022-07-04,306096,Shree Keshav Agencies,10007213,North,Ajmer,Xerotox,Xerotox (25 Kg),500,20000
2022-07-04,306096,Shree Keshav Agencies,10007213,North,Ajmer,Xerotox,Xerotox (25 Kg),375,15000
2022-07-04,306096,Shree Keshav Agencies,10008978,North,Ajmer,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),125,10000
2022-07-04,306096,Shree Keshav Agencies,10008978,North,Ajmer,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),1000,80000
2022-07-04,306096,Shree Keshav Agencies,10008978,North,Ajmer,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),875,70000
2022-07-04,306096,Shree Keshav Agencies,10007213,North,Ajmer,Xerotox,Xerotox (25 Kg),500,20000
2022-07-04,306096,Shree Keshav Agencies,10007213,North,Ajmer,Xerotox,Xerotox (25 Kg),125,5000
2022-07-04,306064,Poultech Agro Foods Pvt. Ltd.,10008978,East,Bhubeneswar,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),125,9375
2022-07-04,306064,Poultech Agro Foods Pvt. Ltd.,10008978,East,Bhubeneswar,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),1000,75000
2022-07-04,306064,Poultech Agro Foods Pvt. Ltd.,10008978,East,Bhubeneswar,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),1000,75000
2022-07-04,306064,Poultech Agro Foods Pvt. Ltd.,10008978,East,Bhubeneswar,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),1000,75000
2022-07-04,306064,Poultech Agro Foods Pvt. Ltd.,10008978,East,Bhubeneswar,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),1000,75000
2022-07-04,306064,Poultech Agro Foods Pvt. Ltd.,10008978,East,Bhubeneswar,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),875,65625
2022-07-04,305091,RA Health Care,10008178,North,Lucknow,Enzimix,Enzimix Protease A ( 25 KG),200,150000
2022-09-04,304966,Swastik Pharma Agency,10014153,North,Karnal,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),300,210000
2022-09-04,304966,Swastik Pharma Agency,10014153,North,Karnal,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),500,350000
2022-09-04,304966,Swastik Pharma Agency,10014153,North,Karnal,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),200,140000
2022-11-04,306033,Shri Ganesh Poultries,10007224,North,Jind,Poszyme,Poszyme 5000 (25 Kg) (Granules),500,45000
2022-11-04,306033,Shri Ganesh Poultries,10015568,North,Jind,NDZ Forte,NDZ Forte (5 x 5Kg),175,45500
2022-11-04,306033,Shri Ganesh Poultries,10015568,North,Jind,NDZ Forte,NDZ Forte (5 x 5Kg),325,84500
2022-11-04,306033,Shri Ganesh Poultries,10014153,North,Jind,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),100,80000
2022-11-04,306033,Shri Ganesh Poultries,10014153,North,Jind,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),200,160000
2022-11-04,305998,Titu Poultry Feed Supplement Store,10008978,North,Jind,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),250,21825
2022-11-04,305998,Titu Poultry Feed Supplement Store,10014153,North,Jind,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),125,97000
2022-11-04,305998,Titu Poultry Feed Supplement Store,10008978,North,Jind,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),350,30555
2022-11-04,305091,RA Health Care,10010071,North,Lucknow,Kem Vit C ,Kem Vit C (25Kg),100,72500
2022-12-04,305006,National Marketing,10014160,West,Wakaner,Previte,Previte-C4Y (5 x 5 Kg),100,67500
2022-03-05,306070,Sandeep Poultry Medicine Shop,10015744,West,Jabalpur,Kem Raksha 49 ,Kem Raksha 49 (200gm x 20),40,6240
2022-03-05,305024,Nmn Ventures,10015938,West,Raipur,Kembio,KemBio Advance (2 x 5Kg),60,42000
2022-03-05,305024,Nmn Ventures,10015568,West,Raipur,NDZ Forte,NDZ Forte (5 x 5Kg),400,104000
2022-04-05,305017,Sri Athanur Amman Agro Vet,10015744,South,Rashipuram,Kem Raksha 49 ,Kem Raksha 49 (200gm x 20),40,6240
2022-09-05,304967,Sree Meerambika Agencies,10010104,South,Hospet,Kembio,Kem Bio + (1kgx10),10,4000
2022-10-05,304967,Sree Meerambika Agencies,10010104,South,Hospet,Kembio,Kem Bio + (1kgx10),80,32000
2022-10-05,304967,Sree Meerambika Agencies,10010104,South,Hospet,Kembio,Kem Bio + (1kgx10),10,4000
2022-11-05,304987,Lotus Farms,10016091,South,Bangalore,Bromo Grane,Bromograne (12 x 1Kg),24,30096
2022-11-05,304974,Soozwin & Co,10014976,East,Kolkata,Xerotox,Xerotox Premium (5 x 5Kg),250,23750
2022-11-05,304974,Soozwin & Co,10014976,East,Kolkata,Xerotox,Xerotox Premium (5 x 5Kg),250,23750
2022-12-05,304982,Jaya Agency,10014492,South,Bangalore,Previte Alpha-D3 Conc.,Previte Alpha-D3 (5 x 1Kg),5,58750
2022-12-05,305018,Takave Farms,10014430,West,Pune,Previte Alpha-D3 Conc.,Previte Alpha-D3 (5Kg),5,47500
2022-12-05,306121,New Hema Enterprises,10014153,South,Hyderabad ,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),300,210000
2022-12-05,306121,New Hema Enterprises,10014153,South,Hyderabad ,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),200,140000
2022-12-05,306121,New Hema Enterprises,10014153,South,Hyderabad ,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),500,350000
2022-12-05,306121,New Hema Enterprises,10007860,South,Hyderabad ,KEM LCC,KEM LCC ( 25 Kg),275,30250
2022-12-05,306121,New Hema Enterprises,10007860,South,Hyderabad ,KEM LCC,KEM LCC ( 25 Kg),500,55000
2022-12-05,306121,New Hema Enterprises,10007860,South,Hyderabad ,KEM LCC,KEM LCC ( 25 Kg),225,24750
2022-12-05,306121,New Hema Enterprises,10014150,South,Hyderabad ,Bromo Grane,Bromo Grane (200gm x10),220,60500
2022-12-05,305047,S M Bios,10014492,South,Coimbatore,Previte Alpha-D3 Conc.,Previte Alpha-D3 (5 x 1Kg),5,58750
2022-02-06,306101,Shree Naveen Poultry Feeds,10007212,North,Ajmer,Stedigro,Stedigro (10 x 1 KG),300,63000
2022-02-06,306121,New Hema Enterprises,10016202,South,Hyderabad ,Previte,Previte Special 500L (5 x 5Kg),350,126000
2022-02-06,306121,New Hema Enterprises,10016202,South,Hyderabad ,Previte,Previte Special 500L (5 x 5Kg),350,126000
2022-02-06,306121,New Hema Enterprises,10016202,South,Hyderabad ,Previte,Previte Special 500L (5 x 5Kg),300,108000
2022-04-06,305013,Vijendra Medical Hall,10015705,North,Jind,Kem Raksha 49 ,Kem Raksha 49 (1Kg x 10),40,24200
2022-04-06,306023,Stemsy Nutrition,10014989,North,Ludhiana,Premin,Premin B (25Kg),100,7500
2022-04-06,306023,Stemsy Nutrition,10010522,North,Ludhiana,Bromo Grane,Bromo Grane (25x1Kg),-50,-67500
2022-04-06,306023,Stemsy Nutrition,10007347,North,Ludhiana,Enzimix,Enzimix - Xylanase (25Kg),-50,-22500
2022-05-06,305091,RA Health Care,10008978,North,Lucknow,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),1000,80000
2022-05-06,306023,Stemsy Nutrition,10008978,North,Ludhiana,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),625,50000
2022-06-06,306007,ABP Enterprises,10008978,East,24 Pargana,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),1000,75000
2022-06-06,306007,ABP Enterprises,10008978,East,24 Pargana,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),1000,75000
2022-06-06,306007,ABP Enterprises,10014150,East,24 Pargana,Bromo Grane,Bromo Grane (200gm x10),60,16500
2022-06-06,306007,ABP Enterprises,10014150,East,24 Pargana,Bromo Grane,Bromo Grane (200gm x10),140,38500
2022-06-06,306007,ABP Enterprises,10008978,East,24 Pargana,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),1000,75000
2022-06-06,304982,Jaya Agency,10008978,South,Bangalore,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),125,10625
2022-06-06,304982,Jaya Agency,10008978,South,Bangalore,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),375,31875
2022-06-06,304982,Jaya Agency,10016254,South,Bangalore,Kembio,Kembio Advance WS (100 gm x 20),100,9500
2022-07-06,304973,S M Enterprises,10008978,East,Patna,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),875,65625
2022-07-06,304973,S M Enterprises,10008978,East,Patna,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),125,9375
2022-07-06,304973,S M Enterprises,10007213,East,Patna,Xerotox,Xerotox (25 Kg),300,14400
2022-07-06,304973,S M Enterprises,10011585,East,Patna,Previte,Previte Special (5 x 5Kg),75,56250
2022-07-06,304973,S M Enterprises,10011585,East,Patna,Previte,Previte Special (5 x 5Kg),125,93750
2022-07-06,304973,S M Enterprises,10011436,East,Patna,Previte Chick Pro,Previte Chick Pro (1L x 10),20,9500
2022-08-06,305086,Excel Enterprises,10007860,South,Vijaywada,KEM LCC,KEM LCC ( 25 Kg),200,22000
2022-08-06,305086,Excel Enterprises,10007860,South,Vijaywada,KEM LCC,KEM LCC ( 25 Kg),500,55000
2022-08-06,305086,Excel Enterprises,10007860,South,Vijaywada,KEM LCC,KEM LCC ( 25 Kg),500,55000
2022-08-06,305086,Excel Enterprises,10007860,South,Vijaywada,KEM LCC,KEM LCC ( 25 Kg),500,55000
2022-08-06,305086,Excel Enterprises,10007860,South,Vijaywada,KEM LCC,KEM LCC ( 25 Kg),500,55000
2022-08-06,305086,Excel Enterprises,10007860,South,Vijaywada,KEM LCC,KEM LCC ( 25 Kg),500,55000
2022-08-06,305086,Excel Enterprises,10009125,South,Vijaywada,Poszyme,Poszyme 5000 CT (5x5 kg),250,62500
2022-09-06,304997,Lotus Poultries Pvt. Ltd.,10016091,South,Bangalore,Bromo Grane,Bromograne (12 x 1Kg),24,30101
2022-09-06,306034,Synergy Agro Industries,10009278,West,Indore,Enzimix,Enzimix+ GT 250 (25K),50,8850
2022-09-06,306034,Synergy Agro Industries,10009278,West,Indore,Enzimix,Enzimix+ GT 250 (25K),200,35400
2022-09-06,306034,Synergy Agro Industries,10007224,West,Indore,Poszyme,Poszyme 5000 (25 Kg) (Granules),50,4500
2022-09-06,306034,Synergy Agro Industries,10015938,West,Indore,Kembio,KemBio Advance (2 x 5Kg),20,14000
2022-09-06,306034,Synergy Agro Industries,10015904,West,Indore,Previte,Previte Cust F-2 (5 x 5kg),250,150000
2022-09-06,305017,Sri Athanur Amman Agro Vet,10011706,South,Rashipuram,Copper Sulphate P,Copper Sulphate A (5 x 5 kg),175,50750
2022-09-06,305017,Sri Athanur Amman Agro Vet,10015568,South,Rashipuram,NDZ Forte,NDZ Forte (5 x 5Kg),500,125000
2022-11-06,306101,Shree Naveen Poultry Feeds,10014976,North,Ajmer,Xerotox,Xerotox Premium (5 x 5Kg),350,31500
2022-11-06,306101,Shree Naveen Poultry Feeds,10014976,North,Ajmer,Xerotox,Xerotox Premium (5 x 5Kg),500,45000
2022-11-06,306101,Shree Naveen Poultry Feeds,10014976,North,Ajmer,Xerotox,Xerotox Premium (5 x 5Kg),150,13500
2022-11-06,304980,Shama Enterprises,10007212,North,Barwala,Stedigro,Stedigro (10 x 1 KG),100,21000
2022-11-06,306080,Lotus Farm Cure,10015568,South,Coimbatore,NDZ Forte,NDZ Forte (5 x 5Kg),500,120000
2022-11-06,306080,Lotus Farm Cure,10015568,South,Coimbatore,NDZ Forte,NDZ Forte (5 x 5Kg),250,60000
2022-11-06,306080,Lotus Farm Cure,10016254,South,Coimbatore,Kembio,Kembio Advance WS (100 gm x 20),340,34000
2022-12-06,304987,Lotus Farms,10016091,South,Bangalore,Bromo Grane,Bromograne (12 x 1Kg),48,60202
2022-12-06,304987,Lotus Farms,10016091,South,Bangalore,Bromo Grane,Bromograne (12 x 1Kg),24,30101
2022-12-06,304987,Lotus Farms,10014430,South,Bangalore,Previte Alpha-D3 Conc.,Previte Alpha-D3 (5Kg),50,550000
2022-03-07,306007,ABP Enterprises,10015568,East,24 Pargana,NDZ Forte,NDZ Forte (5 x 5Kg),200,50000
2022-03-07,306007,ABP Enterprises,10015568,East,24 Pargana,NDZ Forte,NDZ Forte (5 x 5Kg),50,12500
2022-03-07,306007,ABP Enterprises,10015568,East,24 Pargana,NDZ Forte,NDZ Forte (5 x 5Kg),150,37500
2022-03-07,304986,Biotech Marketing,10015568,West,Anand,NDZ Forte,NDZ Forte (5 x 5Kg),500,120000
2022-03-07,304986,Biotech Marketing,10015568,West,Anand,NDZ Forte,NDZ Forte (5 x 5Kg),200,48000
2022-03-07,304986,Biotech Marketing,10015568,West,Anand,NDZ Forte,NDZ Forte (5 x 5Kg),300,72000
2022-03-07,304985,Tawakkal Poultry Pvt. Ltd.,10015568,West,Anand,NDZ Forte,NDZ Forte (5 x 5Kg),300,85500
2022-03-07,304985,Tawakkal Poultry Pvt. Ltd.,10015568,West,Anand,NDZ Forte,NDZ Forte (5 x 5Kg),200,57000
2022-03-07,305003,Shree Brahamani Agency,10015568,West,Anand,NDZ Forte,NDZ Forte (5 x 5Kg),250,62500
2022-03-07,305013,Vijendra Medical Hall,10014991,North,Jind,Premin,Premin L (25Kg),175,8050
2022-03-07,306002,Japp Poultry,10011522,North,Jind,Previte Chick Pro,Previte Chick Pro (5L x 2),150,60000
2022-03-07,304965,Vinayak Enterprises,10008638,North,Karnal,Previte,Previte-WPL (5 x 5 Kg),500,60000
2022-03-07,304965,Vinayak Enterprises,10008638,North,Karnal,Previte,Previte-WPL (5 x 5 Kg),500,60000
2022-03-07,304974,Soozwin & Co,10015568,East,Kolkata,NDZ Forte,NDZ Forte (5 x 5Kg),300,78000
2022-03-07,305047,S M Bios,10015568,South,Coimbatore,NDZ Forte,NDZ Forte (5 x 5Kg),250,65000
2022-03-07,305098,Neoline Pharma,10015568,West,Pune,NDZ Forte,NDZ Forte (5 x 5Kg),300,75000
2022-03-07,305098,Neoline Pharma,10015568,West,Pune,NDZ Forte,NDZ Forte (5 x 5Kg),200,50000
2022-04-07,306206,CPF (India) Private Limited,10014752,South,Coimbatore,Previte Chick Pro,Previte Chick Pro 5 Lit (EA),10,17320
2022-04-07,306121,New Hema Enterprises,10015568,South,Hyderabad ,NDZ Forte,NDZ Forte (5 x 5Kg),500,120000
2022-04-07,306189,Godrej Tyson Foods Ltd.,10007549,West,Pune,Kem Raksha Plus,Kem Raksha Plus (2 X 5 L),20,5764
2022-04-07,306189,Godrej Tyson Foods Ltd.,10007549,West,Pune,Kem Raksha Plus,Kem Raksha Plus (2 X 5 L),100,28820
2022-04-07,306189,Godrej Tyson Foods Ltd.,10007549,West,Pune,Kem Raksha Plus,Kem Raksha Plus (2 X 5 L),30,8646
2022-04-07,306189,Godrej Tyson Foods Ltd.,10007549,West,Pune,Kem Raksha Plus,Kem Raksha Plus (2 X 5 L),20,5764
2022-04-07,305017,Sri Athanur Amman Agro Vet,10015568,South,Rashipuram,NDZ Forte,NDZ Forte (5 x 5Kg),500,125000
2022-05-07,306064,Poultech Agro Foods Pvt. Ltd.,10009279,East,Bhubeneswar,Enzimix,Enzimix GT (25kg),500,80000
2022-05-07,305068,Raj Poultry Farm,10009278,West,Indore,Enzimix,Enzimix+ GT 250 (25K),100,18500
2022-05-07,305068,Raj Poultry Farm,10011436,West,Indore,Previte Chick Pro,Previte Chick Pro (1L x 10),10,4750
2022-05-07,306044,C S R M Enterprises,10015568,South,Tanuku,NDZ Forte,NDZ Forte (5 x 5Kg),200,50000
2022-05-07,306044,C S R M Enterprises,10015568,South,Tanuku,NDZ Forte,NDZ Forte (5 x 5Kg),250,62500
2022-05-07,306044,C S R M Enterprises,10015568,South,Tanuku,NDZ Forte,NDZ Forte (5 x 5Kg),50,12500
2022-05-07,306044,C S R M Enterprises,10007860,South,Tanuku,KEM LCC,KEM LCC ( 25 Kg),500,55000
2022-05-07,306044,C S R M Enterprises,10007860,South,Tanuku,KEM LCC,KEM LCC ( 25 Kg),500,55000
2022-06-07,304986,Biotech Marketing,10015938,West,Anand,Kembio,KemBio Advance (2 x 5Kg),50,35000
2022-06-07,304982,Jaya Agency,10010115,South,Bangalore,Kem-O-Cid pHB,Kem-O-Cid pHB (5L*2),500,65000
2022-06-07,304982,Jaya Agency,10015568,South,Bangalore,NDZ Forte,NDZ Forte (5 x 5Kg),200,50000
2022-06-07,304982,Jaya Agency,10015568,South,Bangalore,NDZ Forte,NDZ Forte (5 x 5Kg),300,75000
2022-06-07,304987,Lotus Farms,10016091,South,Bangalore,Bromo Grane,Bromograne (12 x 1Kg),24,30101
2022-06-07,306072,Jeeya Medicose,10010115,West,Jabalpur,Kem-O-Cid pHB,Kem-O-Cid pHB (5L*2),100,16200
2022-06-07,306030,Venkata Manoj Enterprises,10015557,South,KRISHNA A,Enzimix,Enzimix A (1Kg x 10),-79,-54352
2022-06-07,306030,Venkata Manoj Enterprises,10015557,South,KRISHNA A,Enzimix,Enzimix A (1Kg x 10),-25,-17200
2022-06-07,306030,Venkata Manoj Enterprises,10015556,South,KRISHNA A,Kembio,Kembio WP (1Kg x 10),-8,-11968
2022-06-07,306030,Venkata Manoj Enterprises,10015560,South,KRISHNA A,Kemvit A,Kemvit A (1Kg x 10),-61,-33275
2022-06-07,305046,Fatema Poultry Farm,10015568,West,Wakaner,NDZ Forte,NDZ Forte (5 x 5Kg),25,6500
2022-06-07,305046,Fatema Poultry Farm,10007712,West,Wakaner,Enzimix,Enzimix + (25 Kg),25,4250
2022-06-07,305046,Fatema Poultry Farm,10011435,West,Wakaner,Premin,Premin-O (25 Kg),100,10000
2022-09-07,306080,Lotus Farm Cure,10015568,South,Coimbatore,NDZ Forte,NDZ Forte (5 x 5Kg),500,122500
2022-09-07,306080,Lotus Farm Cure,10015568,South,Coimbatore,NDZ Forte,NDZ Forte (5 x 5Kg),500,122500
2022-09-07,306080,Lotus Farm Cure,10015568,South,Coimbatore,NDZ Forte,NDZ Forte (5 x 5Kg),500,122500
2022-09-07,306080,Lotus Farm Cure,10015568,South,Coimbatore,NDZ Forte,NDZ Forte (5 x 5Kg),500,122500
2022-09-07,306080,Lotus Farm Cure,10015568,South,Coimbatore,NDZ Forte,NDZ Forte (5 x 5Kg),275,67375
2022-09-07,306080,Lotus Farm Cure,10010115,South,Coimbatore,Kem-O-Cid pHB,Kem-O-Cid pHB (5L*2),300,43500
2022-09-07,306080,Lotus Farm Cure,10016254,South,Coimbatore,Kembio,Kembio Advance WS (100 gm x 20),260,23400
2022-09-07,306080,Lotus Farm Cure,10015938,South,Coimbatore,Kembio,KemBio Advance (2 x 5Kg),100,70000
2022-09-07,306080,Lotus Farm Cure,10011436,South,Coimbatore,Previte Chick Pro,Previte Chick Pro (1L x 10),100,45500
2022-09-07,306121,New Hema Enterprises,10010115,South,Hyderabad ,Kem-O-Cid pHB,Kem-O-Cid pHB (5L*2),100,13000
2022-09-07,306121,New Hema Enterprises,10010115,South,Hyderabad ,Kem-O-Cid pHB,Kem-O-Cid pHB (5L*2),80,10400
2022-09-07,306121,New Hema Enterprises,10010115,South,Hyderabad ,Kem-O-Cid pHB,Kem-O-Cid pHB (5L*2),400,52000
2022-09-07,305068,Raj Poultry Farm,10009988,West,Indore,Previte ADBEC,Previte ADBEC (10 x 1 Lit),10,6600
2022-09-07,305087,Phoenix Poultry,10008978,West,Jabalpur,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),850,76500
2022-09-07,305087,Phoenix Poultry,10008978,West,Jabalpur,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),150,13500
2022-09-07,304965,Vinayak Enterprises,10011522,North,Karnal,Previte Chick Pro,Previte Chick Pro (5L x 2),100,43000
2022-09-07,305091,RA Health Care,10010071,North,Lucknow,Kem Vit C ,Kem Vit C (25Kg),100,71500
2022-10-07,304978,Ludhiana Feed Mills Pvt Ltd,10011706,North,Ludhiana,Copper Sulphate P,Copper Sulphate A (5 x 5 kg),700,203000
2022-11-07,304968,Shree Prabhuswami Distributor,10015744,West,Jabalpur,Kem Raksha 49 ,Kem Raksha 49 (200gm x 20),20,3120
2022-11-07,304968,Shree Prabhuswami Distributor,10010114,West,Jabalpur,Kem-O-Cid pHB,Kem-O-Cid pHB (12 x 1L),60,11100
2022-11-07,304968,Shree Prabhuswami Distributor,10010115,West,Jabalpur,Kem-O-Cid pHB,Kem-O-Cid pHB (5L*2),50,8100
2022-12-07,306076,Shri Balaji Medical Agency,10014150,North,Ajmer,Bromo Grane,Bromo Grane (200gm x10),10,2800
2022-12-07,306076,Shri Balaji Medical Agency,10014150,North,Ajmer,Bromo Grane,Bromo Grane (200gm x10),190,53200
2022-12-07,306118,K S Associates,10011585,South,Anaparthi,Previte,Previte Special (5 x 5Kg),275,178750
2022-12-07,306118,K S Associates,10011585,South,Anaparthi,Previte,Previte Special (5 x 5Kg),25,16250
2022-12-07,306080,Lotus Farm Cure,10015568,South,Coimbatore,NDZ Forte,NDZ Forte (5 x 5Kg),225,55125
2022-12-07,306080,Lotus Farm Cure,10015568,South,Coimbatore,NDZ Forte,NDZ Forte (5 x 5Kg),500,122500
2022-12-07,304987,Lotus Farms,10014430,South,Bangalore,Previte Alpha-D3 Conc.,Previte Alpha-D3 (5Kg),80,880000
2022-12-07,306121,New Hema Enterprises,10015938,South,Hyderabad ,Kembio,KemBio Advance (2 x 5Kg),620,409200
2022-12-07,306121,New Hema Enterprises,10015938,South,Hyderabad ,Kembio,KemBio Advance (2 x 5Kg),380,250800
2022-12-07,306121,New Hema Enterprises,10014153,South,Hyderabad ,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),500,350000
2022-12-07,306121,New Hema Enterprises,10009988,South,Hyderabad ,Previte ADBEC,Previte ADBEC (10 x 1 Lit),300,129600
2022-12-07,306121,New Hema Enterprises,10015705,South,Hyderabad ,Kem Raksha 49 ,Kem Raksha 49 (1Kg x 10),70,42000
2022-12-07,306121,New Hema Enterprises,10014150,South,Hyderabad ,Bromo Grane,Bromo Grane (200gm x10),210,57750
2022-12-07,306121,New Hema Enterprises,10007224,South,Hyderabad ,Poszyme,Poszyme 5000 (25 Kg) (Granules),500,45000
2022-12-07,306121,New Hema Enterprises,10014153,South,Hyderabad ,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),350,245000
2022-12-07,306121,New Hema Enterprises,10014153,South,Hyderabad ,Previte Alpha D3 Premix,Previte Alpha-D3 Premix (5x5 Kg),150,105000
2022-12-07,306044,C S R M Enterprises,10011585,South,Tanuku,Previte,Previte Special (5 x 5Kg),350,227500
2022-12-07,306044,C S R M Enterprises,10011585,South,Tanuku,Previte,Previte Special (5 x 5Kg),75,48750
2022-02-08,304967,Sree Meerambika Agencies,10011522,South,Hospet,Previte Chick Pro,Previte Chick Pro (5L x 2),100,43000
2022-02-08,306072,Jeeya Medicose,10011436,West,Jabalpur,Previte Chick Pro,Previte Chick Pro (1L x 10),30,14400
2022-03-08,306034,Synergy Agro Industries,10015904,West,Indore,Previte,Previte Cust F-2 (5 x 5kg),300,180000
2022-04-08,306096,Shree Keshav Agencies,10011436,North,Ajmer,Previte Chick Pro,Previte Chick Pro (1L x 10),250,100000
2022-04-08,306123,Jigar Poultry Farm,10014991,West,Anand,Premin,Premin L (25Kg),250,12000
2022-04-08,306124,Jalaram Poultry Farm,10014991,West,Anand,Premin,Premin L (25Kg),250,12000
2022-04-08,306124,Jalaram Poultry Farm,10014991,West,Anand,Premin,Premin L (25Kg),500,24000
2022-04-08,304037,Poshak Medicines,10014976,West,Anand,Xerotox,Xerotox Premium (5 x 5Kg),200,19000
2022-04-08,304982,Jaya Agency,10014976,South,Bangalore,Xerotox,Xerotox Premium (5 x 5Kg),100,9000
2022-04-08,304982,Jaya Agency,10014976,South,Bangalore,Xerotox,Xerotox Premium (5 x 5Kg),500,45000
2022-04-08,304982,Jaya Agency,10014976,South,Bangalore,Xerotox,Xerotox Premium (5 x 5Kg),400,36000
2022-04-08,304982,Jaya Agency,10011436,South,Bangalore,Previte Chick Pro,Previte Chick Pro (1L x 10),100,45500
2022-04-08,306122,Aggarwal Vetcure Solutions Pvt Ltd,10007213,North,Barwala,Xerotox,Xerotox (25 Kg),500,20000
2022-04-08,306122,Aggarwal Vetcure Solutions Pvt Ltd,10011706,North,Barwala,Copper Sulphate P,Copper Sulphate A (5 x 5 kg),250,75000
2022-04-08,306122,Aggarwal Vetcure Solutions Pvt Ltd,10014991,North,Barwala,Premin,Premin L (25Kg),500,24000
2022-04-08,306122,Aggarwal Vetcure Solutions Pvt Ltd,10014991,North,Barwala,Premin,Premin L (25Kg),500,24000
2022-04-08,306122,Aggarwal Vetcure Solutions Pvt Ltd,10007213,North,Barwala,Xerotox,Xerotox (25 Kg),75,3000
2022-04-08,306122,Aggarwal Vetcure Solutions Pvt Ltd,10007213,North,Barwala,Xerotox,Xerotox (25 Kg),500,20000
2022-04-08,306122,Aggarwal Vetcure Solutions Pvt Ltd,10011585,North,Barwala,Previte,Previte Special (5 x 5Kg),25,16250
2022-04-08,306122,Aggarwal Vetcure Solutions Pvt Ltd,10011585,North,Barwala,Previte,Previte Special (5 x 5Kg),350,227500
2022-04-08,306122,Aggarwal Vetcure Solutions Pvt Ltd,10011585,North,Barwala,Previte,Previte Special (5 x 5Kg),150,97500
2022-04-08,306122,Aggarwal Vetcure Solutions Pvt Ltd,10011585,North,Barwala,Previte,Previte Special (5 x 5Kg),350,227500
2022-04-08,306121,New Hema Enterprises,10015058,South,Hyderabad ,Premin,Premin V (25Kg),375,28125
2022-04-08,306121,New Hema Enterprises,10014976,South,Hyderabad ,Xerotox,Xerotox Premium (5 x 5Kg),200,18000
2022-04-08,306121,New Hema Enterprises,10008978,South,Hyderabad ,Kem-O-Cid Gold,KEM-O-CID Gold (25 Kg),1000,85000
2022-04-08,306034,Synergy Agro Industries,10007224,West,Indore,Poszyme,Poszyme 5000 (25 Kg) (Granules),75,6750
